Taluka,College Name,Name Data
Amravati,"Government College of Engineering, Amravati",
Amravati,"Government College of Pharmacy, Amravati",
Amravati,"Sant Gadge Baba Amravati University,Amravati",
Murtijapur,"Government Polytechnic, Murtijapur",
Amravati,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati",
Amravati,"Government Polytechnic, Amravati",
Khamgaon,"Government Polytechnic, Khamgaon",
Washim,GOVERNMENT POLYTECHNIC WASHIM,
Yavatmal,"Government Polytechnic, Yavatmal",
Yavatmal,"Government College of Engineering Yavatmal and Government Polytechnic, Yavatmal old",
Akola,"Geetadevi Khandelwal Institute of Pharmacy, Akola",
Shegaon,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",
Amravati,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",
Amravati,"Prof. Ram Meghe Institute of Technology & Research, Amravati",
Yavatmal,"Hari Kishan Jaju Education Sanstha's,College of Management & Computer Science, Yavatmal",
Amravati,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",
Amravati,"P.R. Patil College of Engineering & Technology, Amravati",
Amravati,"G.H. Raisoni Institute of Management Studies, Anjangaon, Bari Road,Amravati",
Yavatmal,"Dr. Babasaheb Nandurkar College of Physical Education , Yavatmal",
Amravati,"Shree Hanuman Vyayam Prasark Mandal's P.G. Department of Computer Science & Technology, Amravati",
Amravati,"P.R.Patil College of Management, Amravati",
Shegaon,"Sadhana Shikshan Mandal, Saraswati College, Shegaon",
Amravati,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",
Pusad,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",
Akola,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",
Pusad,"Janata Shikshan Prasarak Mandals Babasaheb Naik College Of Engineering, Pusad",
Chikhli,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",
Yavatmal,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",
Amravati,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",
Yavatmal,"Dr. Bhausaheb Nadurkar College of Engineering, Waghapur,Yavatmal",
Amravati,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",
Amravati,"G.H. Raisoni college of Engineering & Management, Amravati",
Buldana,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",
Daryapur,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",
Yavatmal,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",
Amravati,"Prof Ram Meghe College of Engineering and Management, Badnera",
Dhamangaon Railway,"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon",
Buldana,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",
Amravati,"Vidya Bharati College of Pharmacy, Amravati",
Chikhli,"Anuradha College Of Pharmacy, Chikhli",
Yavatmal,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",
Akola,"Shri Gurudatta Shikshan Prasarak Sanstha's Institute of Pharmacy, Kaulkhad, Akola",
